Name	Set	ImageFile	Type	Rarity	Style	Keywords
Saiyan Recover	Vengeance	U097	Setup	Uncommon	Saiyan	
Saiyan Terrifying Strike	Vengeance	U098	Physical Combat	Uncommon	Saiyan	
Point-Blank Volley	Vengeance	U099	Energy Combat	Uncommon	Freestyle	
Villainous Power Ball	Vengeance	U100	Energy Combat	Uncommon	Villain	
Black Impatience	Vengeance	R101	Setup	Rare	Black	
Black Dispersion	Vengeance	R102	Energy Combat	Rare	Black	
Black Dive	Vengeance	R103	Physical Combat	Rare	Black	
Black Drain	Vengeance	R104	Energy Combat	Rare	Black	
Blue Blanketing Blasts	Vengeance	R105	Energy Combat	Rare	Blue	
Blue Decapitation	Vengeance	R106	Physical Combat	Rare	Blue	
Blue Discharge	Vengeance	R107	Energy Combat	Rare	Blue	
Blue Ki Ball	Vengeance	R108	Energy Combat	Rare	Blue	
Blue Return Fire	Vengeance	R109	Energy Combat	Rare	Blue	
Namekian Pep Talk	Vengeance	R110	Setup	Rare	Namekian	
Namekian Harvesting Drill	Vengeance	R111	Drill	Rare	Namekian	
Namekian Electrifying Grab	Vengeance	R112	Energy Combat	Rare	Namekian	
Namekian Dash	Vengeance	R113	Physical Combat	Rare	Namekian	
Namekian Ending	Vengeance	R114	Event	Rare	Namekian	
Orange Intimidating Drill	Vengeance	R115	Drill	Rare	Orange	
Orange Counter Ball	Vengeance	R116	Energy Combat	Rare	Orange	
Orange Hug	Vengeance	R117	Physical Combat	Rare	Orange	
Orange Immense Blast	Vengeance	R118	Energy Combat	Rare	Orange	
Orange Sword Chop	Vengeance	R119	Physical Combat	Rare	Orange	
Red Sword Slicing Drill	Vengeance	R120	Drill	Rare	Red	
Red Fantasy	Vengeance	R121	Event	Rare	Red	
Red Motivational Kick	Vengeance	R122	Physical Combat	Rare	Red	
Red Stylish Entrance	Vengeance	R123	Event	Rare	Red	
Saiyan Overpowering Aura Drill	Vengeance	R124	Drill	Rare	Saiyan	
Saiyan Denial	Vengeance	R125	Energy Combat	Rare	Saiyan	
Saiyan Extinguishing Blast	Vengeance	R126	Energy Combat	Rare	Saiyan	
Saiyan Lob	Vengeance	R127	Energy Combat	Rare	Saiyan	
Saiyan Thrust	Vengeance	R128	Physical Combat	Rare	Saiyan	
Saiyan Trample	Vengeance	R129	Physical Combat	Rare	Saiyan	
Saiyan Trap	Vengeance	R130	Event	Rare	Saiyan	
Singing Drill	Vengeance	R131	Drill	Rare	Freestyle	
Android Insubordination	Vengeance	R132	Physical Combat	Rare	Freestyle	
Sobering Hammer	Vengeance	R133	Physical Combat	Rare	Freestyle	
Stomach Crusher	Vengeance	R134	Physical Combat	Rare	Freestyle	
Android 13's S.S. Deadly Bomber	Vengeance	R135	Energy Combat	Rare	Named	
Android 13's Impenetrable Defense	Vengeance	R136	Physical Combat	Rare	Named	
Broly's Eraser Cannon	Vengeance	R137	Energy Combat	Rare	Named	
Broly's Face Crusher	Vengeance	R138	Physical Combat	Rare	Named	
Cooler's Rebirth	Vengeance	R139	Energy Combat	Rare	Named	
Cooler's Supernova	Vengeance	R140	Energy Combat	Rare	Named	
Surprise Attack	Vengeance	UR141	Physical Combat	Ultra Rare	Freestyle	
Unleashed	Vengeance	UR142	Event	Ultra Rare	Freestyle	
Instant Transmission	Vengeance	DR001	Event	Dragon Rare	Freestyle	
